OBJECTID,Sheet_no,scan_exist,Scan_avail_yes,Scan_avail_no,Scanned_map,SHAPE
40,H-36-22,no,,"<br><br><font size=""+2""><b>NO</b></font> scan available",,"{'rings': [[[3840536.02117297, 3676112.25563306], [3840536.02117297, 3719637.20290941], [3896195.7665696, 3719637.20290941], [3896195.7665696, 3676112.25563306], [3840536.02117297, 3676112.25563306]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
41,H-36-23,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-36-023.jpg,"{'rings': [[[3896195.7665696, 3676112.25563306], [3896195.7665696, 3719637.20290941], [3951855.51196624, 3719637.20290941], [3951855.51196624, 3676112.25563306], [3896195.7665696, 3676112.25563306]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
42,H-36-24,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-36-024.jpg,"{'rings': [[[3951855.51196624, 3676112.25563306], [3951855.51196624, 3719637.20290941], [4007515.25736288, 3719637.20290941], [4007515.25736288, 3676112.25563306], [3951855.51196624, 3676112.25563306]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
43,H-37-13,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-013.jpg,"{'rings': [[[4007515.25736288, 3676112.25563306], [4007515.25736288, 3719637.20290941], [4063175.00275951, 3719637.20290941], [4063175.00275951, 3676112.25563306], [4007515.25736288, 3676112.25563306]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
44,H-37-14,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-014.jpg,"{'rings': [[[4063175.00275951, 3676112.25563306], [4063175.00275951, 3719637.20290941], [4118834.74815615, 3719637.20290941], [4118834.74815615, 3676112.25563306], [4063175.00275951, 3676112.25563306]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
45,H-37-15,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-015.jpg,"{'rings': [[[4118834.74815615, 3676112.25563306], [4118834.74815615, 3719637.20290941], [4174494.49355279, 3719637.20290941], [4174494.49355279, 3676112.25563306], [4118834.74815615, 3676112.25563306]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
46,H-37-16,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-016.jpg,"{'rings': [[[4174494.49355279, 3676112.25563306], [4174494.49355279, 3719637.20290941], [4230154.23894942, 3719637.20290941], [4230154.23894942, 3676112.25563306], [4174494.49355279, 3676112.25563306]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
47,H-36-10,no,,"<br><br><font size=""+2""><b>NO</b></font> scan available",,"{'rings': [[[3840536.02117297, 3719637.20290941], [3840536.02117297, 3763326.65078074], [3896195.7665696, 3763326.65078074], [3896195.7665696, 3719637.20290941], [3840536.02117297, 3719637.20290941]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
48,H-36-11,no,,"<br><br><font size=""+2""><b>NO</b></font> scan available",,"{'rings': [[[3896195.7665696, 3719637.20290941], [3896195.7665696, 3763326.65078074], [3951855.51196624, 3763326.65078074], [3951855.51196624, 3719637.20290941], [3896195.7665696, 3719637.20290941]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
49,H-36-12,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-36-012.jpg,"{'rings': [[[3951855.51196624, 3719637.20290941], [3951855.51196624, 3763326.65078074], [4007515.25736288, 3763326.65078074], [4007515.25736288, 3719637.20290941], [3951855.51196624, 3719637.20290941]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
50,H-37-1,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-001.jpg,"{'rings': [[[4007515.25736288, 3719637.20290941], [4007515.25736288, 3763326.65078074], [4063175.00275951, 3763326.65078074], [4063175.00275951, 3719637.20290941], [4007515.25736288, 3719637.20290941]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
51,H-37-2,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-002.jpg,"{'rings': [[[4063175.00275951, 3719637.20290941], [4063175.00275951, 3763326.65078074], [4118834.74815615, 3763326.65078074], [4118834.74815615, 3719637.20290941], [4063175.00275951, 3719637.20290941]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
52,H-37-3,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-003.jpg,"{'rings': [[[4118834.74815615, 3719637.20290941], [4118834.74815615, 3763326.65078074], [4174494.49355279, 3763326.65078074], [4174494.49355279, 3719637.20290941], [4118834.74815615, 3719637.20290941]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
53,H-37-4,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-004.jpg,"{'rings': [[[4174494.49355279, 3719637.20290941], [4174494.49355279, 3763326.65078074], [4230154.23894942, 3763326.65078074], [4230154.23894942, 3719637.20290941], [4174494.49355279, 3719637.20290941]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
54,H-37-5,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-005.jpg,"{'rings': [[[4230154.23894942, 3719637.20290941], [4230154.23894942, 3763326.65078074], [4285813.98434606, 3763326.65078074], [4285813.98434606, 3719637.20290941], [4230154.23894942, 3719637.20290941]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
55,H-37-6,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/h-37-006.jpg,"{'rings': [[[4285813.98434606, 3719637.20290941], [4285813.98434606, 3763326.65078074], [4341473.7297427, 3763326.65078074], [4341473.7297427, 3719637.20290941], [4285813.98434606, 3719637.20290941]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
56,H-37-7,no,,"<br><br><font size=""+2""><b>NO</b></font> scan available",,"{'rings': [[[4341473.7297427, 3719637.20290941], [4341473.7297427, 3763326.65078074], [4397133.47513933, 3763326.65078074], [4397133.47513933, 3719637.20290941], [4341473.7297427, 3719637.20290941]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
57,I-36-142,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-36-142.jpg,"{'rings': [[[3840536.02117297, 3763326.65078074], [3840536.02117297, 3807143.10032295], [3896195.7665696, 3807143.10032295], [3896195.7665696, 3763326.65078074], [3840536.02117297, 3763326.65078074]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
58,I-36-143,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-36-143.jpg,"{'rings': [[[3896195.7665696, 3763326.65078074], [3896195.7665696, 3807143.10032295], [3951855.51196624, 3807143.10032295], [3951855.51196624, 3763326.65078074], [3896195.7665696, 3763326.65078074]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
59,I-36-144,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-36-144.jpg,"{'rings': [[[3951855.51196624, 3763326.65078074], [3951855.51196624, 3807143.10032295], [4007515.25736288, 3807143.10032295], [4007515.25736288, 3763326.65078074], [3951855.51196624, 3763326.65078074]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
60,I-37-133,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-37-133.jpg,"{'rings': [[[4007515.25736288, 3763326.65078074], [4007515.25736288, 3807143.10032295], [4063175.00275951, 3807143.10032295], [4063175.00275951, 3763326.65078074], [4007515.25736288, 3763326.65078074]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
61,I-37-134,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-37-134.jpg,"{'rings': [[[4063175.00275951, 3763326.65078074], [4063175.00275951, 3807143.10032295], [4118834.74815615, 3807143.10032295], [4118834.74815615, 3763326.65078074], [4063175.00275951, 3763326.65078074]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
62,I-37-135,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-37-135.jpg,"{'rings': [[[4118834.74815615, 3763326.65078074], [4118834.74815615, 3807143.10032295], [4174494.49355279, 3807143.10032295], [4174494.49355279, 3763326.65078074], [4118834.74815615, 3763326.65078074]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
63,I-37-136,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-37-136.jpg,"{'rings': [[[4174494.49355279, 3763326.65078074], [4174494.49355279, 3807143.10032295], [4230154.23894942, 3807143.10032295], [4230154.23894942, 3763326.65078074], [4174494.49355279, 3763326.65078074]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
64,I-37-137,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-37-137.jpg,"{'rings': [[[4230154.23894942, 3763326.65078074], [4230154.23894942, 3807143.10032295], [4285813.98434606, 3807143.10032295], [4285813.98434606, 3763326.65078074], [4230154.23894942, 3763326.65078074]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
65,I-37-138,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-37-138.jpg,"{'rings': [[[4285813.98434606, 3763326.65078074], [4285813.98434606, 3807143.10032295], [4341473.7297427, 3807143.10032295], [4341473.7297427, 3763326.65078074], [4285813.98434606, 3763326.65078074]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
66,I-37-139,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-37-139.jpg,"{'rings': [[[4341473.7297427, 3763326.65078074], [4341473.7297427, 3807143.10032295], [4397133.47513933, 3807143.10032295], [4397133.47513933, 3763326.65078074], [4341473.7297427, 3763326.65078074]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
67,I-36-131,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-36-131.jpg,"{'rings': [[[3896195.7665696, 3807143.10032295], [3896195.7665696, 3851145.35047545], [3951855.51196624, 3851145.35047545], [3951855.51196624, 3807143.10032295], [3896195.7665696, 3807143.10032295]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
68,I-36-132,Yes,"<br><br><font size=""+2""><b>SCANNED</b></font> copy of map",,http://maps.vlasenko.net/smtm100/i-36-132.jpg,"{'rings': [[[3951855.51196624, 3807143.10032295], [3951855.51196624, 3851145.35047545], [4007515.25736288, 3851145.35047545], [4007515.25736288, 3807143.10032295], [3951855.51196624, 3807143.10032295]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
